992235,2,2,7,4,2,5,1,7,3,4,3,3,2,2,4,2,4,4,2,2,3,3,8,4
993693b,2,2,6,4,2,5,1,3,3,5,3,3,3,2,4,2,4,4,2,2,3,3,7,4
ATCC35711,2,2,7,2,2,4,2,3,3,5,2,1,2,5,2,4,7,3,4,2,3,4,6,3
C11,2,2,3,3,2,6,1,5,3,3,2,3,4,4,3,3,2,4,2,2,1,1,6,2
C4,3,3,3,3,2,5,1,4,3,3,2,4,3,4,1,3,4,4,2,2,2,3,10,2
CPHLA,2,2,4,4,2,4,2,4,3,2,2,1,1,4,5,2,4,3,4,2,3,3,2,3
EAS009,2,3,4,2,2,6,2,2,3,5,3,3,2,4,5,2,1,3,2,4,3,7,6,1
EAS050,2,5,4,3,2,7,2,2,3,4,3,4,2,4,6,3,4,3,1,1,3,4,4,1
EAS053,2,5,4,3,2,6,2,2,3,4,3,4,2,4,6,3,1,3,1,1,3,4,6,1
EAS054,2,5,4,3,2,6,2,2,3,4,3,4,2,4,6,3,1,3,1,1,3,4,4,1
Erdman,2,2,4,3,1,3,1,5,3,3,2,3,2,3,3,4,3,2,4,2,3,5,9,3
GM0981,2,2,7,2,2,4,2,4,3,3,2,1,2,5,4,4,7,3,4,4,3,4,5,3
GM1121,2,7,7,2,2,4,2,4,3,5,2,1,2,5,3,4,7,3,4,4,2,5,8,3
GM1255,2,3,6,2,2,4,2,3,3,4,2,2,2,5,3,4,6,3,4,4,3,6,4,3
GM1503,2,2,3,2,2,6,1,4,3,3,2,1,4,4,3,3,2,4,1,1,5,2,8,2
K100,2,2,6,2,2,5,1,7,3,4,3,3,4,4,3,8,5,4,2,3,3,1,4,1
K11,2,6,2,2,1,1,1,5,3,3,2,3,3,4,1,3,4,4,2,2,3,2,3,2
K19,2,2,6,4,2,5,1,5,3,5,3,2,2,2,4,2,4,4,2,2,3,3,8,4
K21,2,5,4,3,1,6,2,2,3,6,4,3,2,4,8,10,9,3,2,5,3,8,3,1
K25,2,6,7,4,1,4,2,2,2,1,2,2,3,5,3,7,8,3,2,3,4,3,7,3
K37,2,2,3,3,1,5,1,4,3,4,2,3,2,6,3,2,4,4,2,1,3,3,7,2
K49,2,2,8,3,2,5,1,1,3,4,3,4,4,2,3,2,4,4,2,2,3,2,5,4
K6,2,2,5,3,2,4,2,4,3,5,2,2,3,5,2,5,6,3,4,2,3,4,6,1
K67,2,5,4,3,2,10,2,2,3,6,3,3,2,4,14,3,6,3,1,4,3,6,6,1
K85,2,1,5,4,2,4,2,5,3,5,2,2,3,5,4,5,6,3,4,4,3,4,6,3
K93,2,5,4,3,2,11,2,2,3,6,3,3,3,4,8,3,5,3,1,4,3,4,6,1
